Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
Ca. 20 - 50 cm,,Magerzone,mehrjährig,Cytisus purpureus 'Alba',heimisch,Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",trocken,,Weißer Geißklee,,weiß,mager,,April bis Juni
Ca. 20 - 60 cm,,"Magerzone, Pufferzone",mehrjährig,Genista germanica,heimisch,Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",trocken,,Ginster,,gelb,"mager bis humos, auch sauer",,Mai bis Juni
Ca. 20 - 50 cm,,Magerzone,mehrjährig,Cytisus purpureus,heimisch,Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",trocken,,Roter Geißklee,,rot,mager,,April bis Juni
Ca. 150 cm,,Magerzone,mehrjährig,Salix hastata,heimisch,Salicaceae - Weidengewächse,"Sonne, Halbschatten",frisch - feucht,"Insekten, Wildbienen, Frühblüher",Spießweide,"Mit einer Höhe von lediglich ca. 150cm handelt es sich bei der heimischen Spießweide um eine kleinwüchsige Weidenart. Pro Jahr beträgt das Wachstum nur ca. 20cm, so dass sie im Gegensatz zu anderen Weiden nur wenig zurückgeschnitten werden muss und sich auch als Kübelpflanze eignet. Die Spießweide benötigt einen sonnigen bis halbschattigen Platz in normalem Gartenboden, lange Trockenphasen verträgt sie nicht. Die Blüten dieser Weidenart erscheinen zwischen April und Mai und sind für viele Insekten eine wertvolle Nahrungsquelle.",grün,humos,,April bis Mai
Ca. 30 - 60 cm,,Pufferzone,mehrjährig,Helleborus foetidus,heimisch,Ranunculaceae - Hahnenfußgewächse,"Halbschatten, Schatten",frisch,"Insekten, Wildbienen, Frühblüher",Stinkende Nieswurz,,gelb,"humos, lehmig, kalkreich",,Februar bis April
Ca. 40 - 80 cm,,Magerzone,mehrjährig,Betula nana,heimisch,Betulaceae - Birkengewächse,Sonne,trocken,,Zwergbirke,,grün,mager,,April bis Juni
bis zu 200cm lange Triebe,,Pufferzone,mehrjährig,Rosa pimpinellifolia 'Reptens',heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",trocken - frisch - feucht,"Insekten, Wildbienen",Kriechende Bibernellrose,"Diese Wildrose bildet bis zu 200 cm lange Triebe, die nicht aufrecht, sondern flach wachsen und stark bestachelt sind. Sie eignet sich daher überall dort gut als Schutzgehölz, wo es sonnig oder auch leicht halbschattig ist. An den Boden stellt sie keine besonderen Ansprüche, sie wächst auch auf eher sandigen Böden. Ihre cremefarbenen Blüten erscheinen je nach Region schon ab Ende April. Die Kriechende Bibernellrose bildet viele Ausläufer und kann daher nicht nur als lockere, niedrige Hecke verwendet werden, sondern auch als Bodendecker oder zur Hangbefestigung. Wegen der starken Ausbreitung reicht eine Pflanze pro Meter.",weiß,humos,,Juni - Juli
Ca. 2 - 5m,,"Pufferzone, Magerzone, Gebäudebegrünung",mehrjährig,Bryonia alba,heimisch,Cucurbitaceae - Kürbisgewächse,"Sonne, Halbschatten",trocken - frisch - feucht,"Insekten, Wildbienen",Weiße Zaunrübe,Kletterpflanze,weiß,mager - humos,Hochgiftig!,Juni - Juli
Bis ca. 20m,,"Pufferzone, Kletterpflanze",mehrjährig,Vitis vinifera,heimisch,Vitaceae - Weinrebengewächse,"Sonne, Halbschatten",trocken - frisch,"Insekten, Wildbienen",Weinrebe,"Darf es etwas größer werden? Die Weinrebe ist sehr wuchsfreudig und erreicht gerne Höhen von bis zu 20 Metern. Zum Glück verträgt sie Rückschnitte und kann daher auch in kleineren Gärten im Zaum gehalten werden. Allerdings wächst sie schnell, man sollte sich also auf jährliche Rückschnitte einstellen. Die buschige Pflanze mit ihrem dichten Blattwerk bietet einer Vielzahl von Lebewesen Lebensraum und Schutz. Die Weinrebe pflanzt man am besten an einem sonnigen Ort in einen humosen, trockenen bis frischen Boden. Doch auch im Halbschatten gedeiht diese Kletterpflanze noch prächtig. Sie wird nicht nur für die Gebäudebegrünung verwendet, sondern dient auch zum Beranken eines Zaundurchganges oder einer Pergola. Schon die gelbgrünen Blüten bieten vielen Insekten Nahrung, ganz zu schweigen von den Früchten, die nicht nur bei uns Menschen beliebt sind, sondern auch gerne von Vögeln und Kleintieren angenommen werden.",gelbgrün,humos,,Juni - August
Bis ca. 4m,,"Pufferzone, Gebäudebegrünung",mehrjährig,"Dioscorea communis, Tamus communis",heimisch,Dioscoreaceae -   Yamswurzelgewächse,"Sonne, Halbschatten",frisch - feucht,Insekten,Gemeine Schmerwurz,Kletterpflanze,gelbgrün,humos,,Mai - Juni
Bis ca. 2m,,"Pufferzone, Gebäudebegrünung",mehrjährig,Solanum dulcamara,heimisch,Solanaceae - Nachtschattengewächse,"Sonne, Halbschatten",feucht - nass,Insekten,Bittersüßer Nachtschatten,Kletterpflanze,lila,humos,hoch giftig! Der Verzehr kann - vor allem für Kinder - tödlich sein!,Juni - August
Bis ca. 5m,,"Pufferzone, Gebäudebegrünung",mehrjährig,Lonicera tellmanniana,Ungarn,Caprifoliaceae - Geißblattgewächse,"Sonne (wenn Bodennähe schattig/feucht), Halbschatten",frisch - feucht,Insekten,Gold-Geißblatt,Kletterpflanze,gelb,humos,,Juni - Juli
Bis ca. 5m,,"Pufferzone, Kletterpflanze",mehrjährig,Lonicera periclymenum,heimisch,Caprifoliaceae - Geißblattgewächse,"Sonne, Halbschatten",frisch - feucht,"Insekten Nachtfalter, mehr als 5  Nachtfalterraupen",Wald-Geißblatt,"Eine weitere heimische Kletterpflanze, die locker mit exotischen Schönheiten mithalten kann, ist das Wald-Geißblatt. Wenn die Pflanze an einem Gehölz oder Ranggerüst Halt findet, wächst sie bis zu einer Höhe von 5 Metern heran. Der Standort sollte sonnig bis halbschattig sein, der Boden humos und frisch bis feucht. Im Gegensatz zu dem mit ihm verwandten Echten Geißblatt mag es aber keine Trockenheit. Ab Mai zeigt die Kletterpflanze ihre wunderschönen großen Blüten. Die exotisch anmutenden, gelb/rosa-farbenen Gebilde werden von vielen Schmetterlingen und Insekten angeflogen. Desweiteren ist das Wald-Geißblatt Futterpflanze für mehr als 5 Nachtfalterraupen.",gelb/rosa,humos,,Mai - Juli
Bis ca. 5m,['https://hortus-netzwerk.de/wp-content/uploads/2020/11/IMG_1390-300x225.jpg'],"Pufferzone, Kletterpflanze",mehrjährig,Lonicera caprifolium,heimisch,Caprifoliaceae - Geißblattgewächse,"Sonne, Halbschatten",trocken - frisch - feucht,"Insekten, Nachtfalter","Echtes Geißblatt, Jelängerjelieber","Das heimische Echte Geißblatt kann eine Höhe von bis zu 5 Metern erreichen. Dabei rankt sie sich entweder an Gehölzen und Bäumen oder einem Rankgerüst empor. Bei jungen Bäumen sollte man vosichtig sein, denn die Waldrebe hat Kraft und gelegentlich kann es durch Einschnürungen zu Schäden kommen. Der Standort sollte sonnig bis halbschattig sein, der Boden humos. An die Feuchtigkeit stellt das Geißblatt wenig Ansprüche, von trocken bis feucht ist alles erlaubt. Insekten und Nachtfalter besuchen ab Mai die wunderschönen, großen Blüten, die ein echter Blickfang sind. Die für uns leicht giftigen Früchte werden von Vögeln gerne angenommen.","weiß bis gelb, oft rötlich zulaufend",humos,,Mai - Juli
Ca. 1 - 2m,,"Magerzone, Pufferzone, Gebäudebegrünung",mehrjährig,Lathyrus latifolius,"ursprünglich Südeuropa, inzwischen etabliert",Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",trocken - frisch - feucht,"Bienen, Wildbienen",Breitblättrige Platterbse,"Kletterpflanze, auch als weiße Variante erhältlich",rosa,mager - humos,,Juni - Juli
Ca. 1 - 2m,,"Pufferzone, Kletterpflanze",mehrjährig,Lathyrus sylvestris,heimisch,Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",trocken - frisch,,"Wilde Platterbse, Wald-Platterbse","Die filigrane Wald-Platterbse eignet sich nicht zur Gebäudebegrünung. Aber ihre bis zu zwei Meter langen Ranktriebe können zum Beispiel einen kleinen Vorgartenzaun in einen bezaubernden Blickfang verwandeln oder einem kleinen Stein- oder Holzmodul im Hortus ein besonderes Flair verleihen. An einem sonnigen bis halbschattigen Standort mit magerem bis humosen Boden fühlt sich diese heimische Platterbsenart wohl. Zu feucht sollte es nicht sein, ein trockener bis frischer Boden ist ihr am liebsten. Ab Juli zeigen sich dann die schönen rosafarbenen Blüten, die den Insekten Nahrung bieten.",rosa,mager - humos,,Juli - August
Ca. 2 - 6m,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Hopfen-300x225.jpg'],"Pufferzone, Kletterpflanze",mehrjährig,Humulus lupulus,heimisch,Cannabaceae - Hanfgewächse,"Sonne, Halbschatten, Schatten",frisch - feucht,Bienen,Echter Hopfen,"Den meisten ist Hopfen bekannt, weil aus ihm Bier gebraut wird. Schon im frühen Mittelalter wurde aus diesem Grund der Hopfen bei uns angebaut. Allerdings sollte man ihn keinesfalls auf diese eine Verwendungsart reduzieren.  Stellt man dieser Kletterpflanze ein Rankgerüst zur Verfügung, wächst sie bis zu 6 Meter hoch. Voraussetzung ist ein frischer bis feuchter, humoser Standort. Hopfen wächst am besten in sonniger bis halbschattiger Lage. Auch Schattenlagen werden toleriert, dort wird er aber nicht so hoch. Das dichte Blattwerk dient vielen Insekten als Schutz und Lebensraum. Ab Juli bilden sich gelbgrüne Blüten, die Nahrung für Bienen und andere Insekten bieten. Die Früchte finden in der Heilkunde Verwendung, sie haben u.a. eine appetitanregende, schlaffördernde und beruhigende Wirkung.",gelbgrün,humos,,Juli - August
Bis ca. 4m,"['https://hortus-netzwerk.de/wp-content/uploads/2020/11/IMG_2079-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/11/IMG_2125-300x225.jpg']","Pufferzone, Kletterpflanze",mehrjährig,Bryonia dioica,heimisch,Cucurbitaceae - Kürbisgewächse,"Sonne, Halbschatten",frisch - feucht,Bienen,Rotbeerige Zaunrübe,"Für sonnige bis halbschattige Standorte eignet sich die Zaunrübe sehr gut. Sie bevorzugt frischen bis feuchten, humosen Boden. Gefällt ihr der Standort, ist sie sehr wuchsfreudig und wächst dichtbuschig bis zu 4 Metern in die Höhe. Dafür benötigen die Triebe der Zaunrübe entweder ein Gehölz oder eine Rankhilfe. Ab Juni zeigen sich kleine, grünlich/weiße Blüten. Sie sind zwar kein Blickfang, dienen aber vielen Bienen und anderen Insekten als Nahrung. Die Zaunrüben-Sandbiene hat ihren Namen nicht umsonst, für sie ist die Zaunrübe die einzige Nahrungsquelle.",grünlich/weiß,humos,giftig!,Juni - September
,,,,,,,,,,,,,,,
Bis ca. 5m,,Pufferzone,Gehölz,Euonymus europaeus,heimisch,Celastraceae - Spindelbaumgewächse,"Sonne, Halbschatten, Schatten",frisch,"Bienen, Insekten, Vögel (Früchte dienen als Nahrung)",Gewöhnliches Pfaffenhütchen,,grünweiß,humos,Alle Pflanzenteile sind giftig,Mai bis Juni
Bis ca. 100 cm,"['https://hortus-netzwerk.de/wp-content/uploads/asgarosforum/6197/nachtviole_weiss1.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Samenstand-Nachtviole-300x225.jpeg']",Magerzone,zweijährig,Hesperis matronalis,heimisch,Brassicaceae - Kreuzblütengewächse,Sonne - Halbschatten - Schatten,trocken,"Bienen, sehr viele Nachtfalter Raupenfutter, Fledermäuse",Nachtviole,"Die heimische Nachviole hat keine besonderen Ansprüche an die Lichtverhältnisse. Sie blüht üppiger an hellen Standorten, gedeiht aber auch im Schatten. Egal, ob mager oder nährstoffreich, die Nachtviole wächst auf jedem Boden, der trocken bis leicht feucht ist. Kurz gesagt: Die Nachtviole wächst fast überall. Die bis zu 100 cm hohe zwei- bis mehrjährige Pflanze blüht von Mai bis Juli und wird von vielen Bienen und Schmetterlingen angeflogen. Darunter sind auch vielen Nachtfalter, denn der Name der Nachtviole ist Programm - sie blüht auch nachts. Wer also die Nachtviole in seinem Hortus hat unterstützt damit auch Fledermäuse. Darüber hinaus dient die Pflanze auch als Raupenfutter.",violett,mager bis nährstoffreich,Alle Pflanzenteile sind giftig,Mai bis Juli
Ca. 10 - 25 cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Hundszahn-150x150.jpg'],Pufferzone,Zwiebelgewächs,Erythronium dens-canis,nördliche Mittelmeerländer,Liliaceae - Liliengewächse,Halbschatten,frisch,,Hunds-Zahnlilie,"Während die Stauden noch ihren Winterschlaf halten, zeigt diese bis zu 30cm hohe Lilienart ihre schönen violeten Blüten bereits ab März. Sie ist deshalb eine überaus wichtige Nahrungsquelle für die ersten Insekten des Jahres. Die Hundszahn-Lilie stammt ursprünglich aus den nördlichen Mittelmeerländern und setzte ihren Weg in Richtung Schweiz, Österreich und das mittlere Frankreich fort. Bei uns ist sie seit mehreren Jahrhunderten kultiviert. Die Zwiebeln setzt man am besten in kleinen Gruppen an Standorte, die halbschattig, humos und frisch sind. Die Unterpflanzung von Hecken oder Bäumen bietet sich geradezu an. Ich selbst habe keine Erfahrung in Bezug auf die Vermehrung der Hunds-Zahnlilie, aber die Vermehrung über Samen soll wohl ganz gut funktionieren.",violett,humos,,März - April
Ca. 15 - 30 cm,,Pufferzone,mehrjährig,Pulmonaria officinalis,heimisch,Boraginaceae - Raublattgewächse,"Halbschatten, Schatten",feucht,Bienen Frühblüher,Echtes Lungenkraut,"Das Echte Lungenkraut ist eine in Europa weit verbreitete Staude, die eine maximale Höhe von ca. 30 cm erreicht. Das Lungenkraut meidet volle Sonne und sollte besser an halbschattigen bis schattigen Standorten stehen, die humos und feucht sind. Als Frühblüher zeigt die Pflanze ihre kleinen lilafarbenen Blüten bereits ab März und ist eine wichtige Nahrungsquelle für frühfliegende Insekten. Wie der Name schon andeutet, haben die Menschen schon früh den positiven Einfluss des Lungenkrauts auf die Atemwege erkannt und auch heute wird die Pflanze wegen ihrer entzündungshemmenen und hustenreizlindernden Eigenschaften verwendet.",lila/violett,humos,,März - Mai
Bis ca. 120 cm,,Sumpfzone,mehrjährig,Petasites hybridus,heimisch,Asteraceae - Korbblütengewächse,Halbschatten,feucht - nass,Bienen Frühblüher,Gewöhnliche Pestwurz,,rötlich,humos - nährstoffreich,,März - Mai
Bis ca 40 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Hyacinthoides-non-scriptus-300x225.jpg'],Pufferzone,Zwiebelgewächs,Hyacinthoides non-scriptus,heimisch,Spargelgewächse - Asparagaceae,"Halbschatten, Schatten",feucht,,Hasenglöckchen,"Auch das ursprünglich aus der westeuropäischen Atlantikregion stammende Hasenglöckchen gehört zu den Frühblühern und wird gerne von früh im Jahr fliegenden Insekten besucht. Bei uns ist die Pflanze seit mehreren Jahrhunderten eingebürgert. Das Hasenglöckchen bevorzugt einen halbschattigen, feuchten Standort in humoser Erde, auch Schatten wird toleriert, dort blüht es aber nicht ganz so üppig. Ab April kann man sich dann an den vielen blau/lilafarbenden Blüten erfreuen. Die Pflanze wird bis zu 40cm hoch und ist somit hervorragend zur Unterpflanzung von Hecken, Sträuchern und Bäumen geeignet. ",lila,humos,,April - Mai
Ca. 15 - 20 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Galanthus-nivalis-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/Galanthus-nivalis2-300x225.jpg']",Pufferzone,Zwiebelgewächs,Galanthus nivalis,"Südwest- und Osteuropa, seit Jahrhunderten eingebürgert",Amaryllisgewächse - Amaryllidaceae,"Halbschatten, Schatten",feucht,"Bienen, Schmetterlinge Frühblüher",Schneeglöckchen,"Unter den Zwiebelpflanzen sind sie die ersten, die sich zeigen. Das in Südwest- und Osteuropa heimische Schneeglöckchen wurde im 15. JH (evtl. auch schon früher) in Mitteleuropa eingebürgert. Schon ab Januar zeigt die 15-20 cm hohe Pflanze ihre glockenförmigen weißen Blüten, die den wenigen Insekten, die so früh schon fliegen, als Nahrungquelle dienen. Was den Standort angeht, ist das Schneeglöckchen recht unkompliziert. Ein humoser, feuchter Boden ist optimal, aber das Schneeglöckchen ist genügsam. Hat man eine gesunde Ameisenpopulation im Garten, muss man sich um die Vermehrung der Schneeglöckchen keine Sorgen machen. Die fleißigen Tierchen fressen die Samen und verteilen sie. Die Pflanze steht in einigen Bundesländern auf der Roten Liste der gefährdeten Pflanzenarten und darf daher nicht am Naturstandort ausgegraben werden.",weiß,humos,giftig,Januar bis März
Ca. 40 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Narcissus-pseudonarcissus-300x225.jpg'],Pufferzone,Zwiebelgewächs,Narcissus pseudonarcissus,heimisch,Amaryllisgewächse - Amaryllidaceae,"Sonne, Halbschatten",frisch - feucht,Bienen Frühblüher,"Gelbe Narzisse, Osterglocke","Die heimische Narcissus pseudonarcissus ist die Basis vieler gezüchtete Narzissen. Das bis zu 40 cm hohe Zwiebelgewächs zeigt seine leuchtend gelben, großen Blüten zwischen März und April und gehört neben den Tulpen zu den beliebtesten Garten- und Schnittblumen des Frühlings. Ihr Pollengehalt ist zwar gering, aber ihr Nektar ist eine wichtige Nahrungsquelle für frühfliegende Insekten. Die Wildform der Osterglocke ist deutlich kleiner und streng geschützt, pfücken und ausgraben ist also verboten! Im Hortus bevorzugt die Osterglocke einen leicht nährstoffreichen Boden in sonniger bis halbschattiger Lage. Trockenheit mag die Osterglocke nicht, ein frischer bis feuchter Boden ohne „nasse Füße“ ist ihr lieber.  Am besten pflanzt man sie an helle Gehölzränder oder in Wiesen und lässt sie verwildern.",gelb,humos,,März - April
